post_code;population
8001;21098
8002;16056
8003;30040
8004;29488
8005;53406
8006;18470
8007;8541
8008;11032
8009;12345
8010;8597
8011;9955
8012;18729
8013;33472
8014;42237
8015;27108
8016;35568
8017;65741
8018;43004
8019;47626
8020;53772
8021;18186
8022;26891
8023;28661
8024;34664
8025;27238
8026;17625
8027;36004
8028;60857
8029;27245
8030;75491
8031;28386
8032;42511
8033;45449
8034;60294
8035;65900
8036;13568
8037;7442
8038;88604
8039;51355
8040;181506
8041;23363
8042;33962
8070;—
8071;—
8075;1216
8080;—
8199;499
8214;11461
8296;3780
8410;4691
8480;7746
8520;17044
8521;1414
8718;1478
8770;12475
8820;65585
8872;4833
